Symbol,Previous Close,Last Price,Change,% Change,Market Cap,Year High,Year Low
DRREDDY,6095.85,6096.0,0.15,0.0,741042188316.45,6505.9,4685.0
SHREECEM,27490.75,27491.0,0.25,0.0,366574933446.68,30737.75,22605.6
UPL,557.7,557.7,0.0,0.0,276473188928.63,696.0,447.8
TATACHEM,1116.3,1116.3,0.0,0.0,171718469185.9,1349.0,933.0
TATACONSUM,1114.6,1114.6,0.0,0.0,699744737843.71,1269.0,816.0
HCLTECH,1444.15,1444.15,0.0,0.0,1514681019304.13,1697.35,1087.05
GODREJCP,1409.3,1409.3,0.0,0.0,526604160487.3,1467.1,959.8
PNB,126.57,126.57,0.0,0.0,382770428334.98,142.9,49.7
APOLLOTYRE,476.7,476.7,0.0,0.0,157398337649.07,557.9,365.0
GRASIM,2458.05,2458.05,0.0,0.0,910439717036.64,2523.7,1696.0
PAGEIND,38833.0,38833.0,0.0,0.0,235569818880.0,42885.0,33070.05
OFSS,9658.0,9658.0,0.0,0.0,222637850386.81,9793.5,3737.25
COALINDIA,487.9,487.9,0.0,0.0,1111602121982.63,527.4,223.25
BIOCON,338.15,338.15,0.0,0.0,148481203500.0,349.45,217.5
MUTHOOTFIN,1792.7,1792.7,0.0,0.0,191641745655.36,1810.95,1140.5
BAJAJFINSV,1590.1,1590.1,0.0,0.0,861554077554.91,1741.0,1419.05
NMDC,265.35,265.35,0.0,0.0,304992546718.28,286.35,103.8
LTIM,5047.2,5047.2,0.0,0.0,461403574446.38,6442.0,4513.55
ASIANPAINT,2910.0,2910.0,0.0,0.0,1315952224034.7,3568.0,2670.1
PIIND,3638.2,3638.2,0.0,0.0,292851393920.55,4040.0,3220.0
MRF,126079.6,126079.0,-0.6,-0.0,255346089451.27,151445.0,98280.1
GNFC,689.5,689.4,-0.1,-0.01,57209665108.2,814.9,532.0
JUBLFOOD,532.6,532.5,-0.1,-0.02,202511110796.4,586.95,421.05
CONCOR,1140.3,1140.0,-0.3,-0.03,311142251749.68,1180.0,629.2
BATAINDIA,1468.4,1468.0,-0.4,-0.03,93355978679.0,1771.45,1269.0
ZEEL,165.05,165.0,-0.05,-0.03,151463923132.03,299.7,125.5
ULTRACEMCO,11173.8,11170.0,-3.8,-0.03,1299137931000.0,11299.0,7987.65
SUNTV,759.3,759.0,-0.3,-0.04,62895905352.0,792.6,423.0
TORNTPHARM,2874.9,2873.0,-1.9,-0.07,261635416614.72,2919.3,1772.05
CHOLAFIN,1436.1,1435.0,-1.1,-0.08,593768731417.4,1455.85,997.25
MARUTI,12846.85,12831.5,-15.35,-0.12,1694533037867.21,13073.95,9254.15
BAJAJ-AUTO,9923.4,9826.0,-17.4,-0.18,1111917132196.8,9995.0,4541.0
JSWSTEEL,915.75,914.0,-1.75,-0.19,876475155954.06,928.95,723.0
KOTAKBANK,1726.35,1723.0,-3.35,-0.19,2531735496054.92,1987.75,1543.85
LAURUSLABS,439.5,438.5,-1.0,-0.23,170991230177.36,471.0,328.15
JKCEMENT,4241.95,4232.0,-9.95,-0.23,180163753736.17,4575.0,3030.25
SBILIFE,1449.9,1444.9,-5.0,-0.34,661153068218.25,1569.4,1227.65
COROMANDEL,1498.35,1493.0,-5.35,-0.36,177313555931.8,1534.75,913.55
ESCORTS,4247.65,4230.1,-17.55,-0.41,142211261907.0,4309.95,2117.2
DALBHARAT,1901.8,1888.95,-12.85,-0.68,148631120887.24,2430.7,1651.4
RAMCOCEM,866.25,858.0,-8.25,-0.95,110563567525.8,1058.2,700.0
AUROPHARMA,1254.65,1226.25,-28.4,-2.26,353925669871.49,1292.1,665.75
